country,sex,age,suicide_prob
bahrain,male,35-54,0.0009962440920969
bahrain,male,5-14,4.015603904446215e-05
bahrain,male,55-74,0.0006018337713591
bahrain,male,75+,0.0
barbados,female,15-24,0.0001742424242424
barbados,female,25-34,0.0003521332079097
barbados,female,35-54,0.0003615072303014
barbados,female,5-14,0.0
barbados,female,55-74,0.0005143153592149
barbados,female,75+,0.0
barbados,male,15-24,0.000788801361806
barbados,male,25-34,0.0015464815115412
barbados,male,35-54,0.0021342957426734
barbados,male,5-14,8.854562830339554e-05
barbados,male,55-74,0.0015732887225538
barbados,male,75+,0.0013773889670949
belarus,female,15-24,0.0010385013540689
belarus,female,25-34,0.0015913141015486
belarus,female,35-54,0.0023581711777963
belarus,female,5-14,0.0001038693319481
belarus,female,55-74,0.0028550921604556
belarus,female,75+,0.0038892456310202
belarus,male,15-24,0.0063672855540216
belarus,male,25-34,0.0124614464061777
belarus,male,35-54,0.0162450539916453
belarus,male,5-14,0.0003862879491723
belarus,male,55-74,0.0158604534078456
belarus,male,75+,0.0151536017613781
belgium,female,15-24,0.001477505822344
belgium,female,25-34,0.0026749117165869
belgium,female,35-54,0.0048657471297189
belgium,female,5-14,9.55538954084156e-05
belgium,female,55-74,0.0051613891964601
belgium,female,75+,0.005100669644837
belgium,male,15-24,0.0052340537854103
belgium,male,25-34,0.0090093510476906
belgium,male,35-54,0.0119592161047699
belgium,male,5-14,0.0002541074814797
belgium,male,55-74,0.0113337211659458
belgium,male,75+,0.0218381924300655
belize,female,15-24,0.0009001709761523
belize,female,25-34,0.0002113926293549
belize,female,35-54,0.0004998347678538
belize,female,5-14,0.0001096821234473
belize,female,55-74,0.0002047263492416
belize,female,75+,0.0005230125523012
belize,male,15-24,0.0025893556781303
belize,male,25-34,0.0040118672876253
belize,male,35-54,0.0037569509126987
belize,male,5-14,0.0002188417772123
belize,male,55-74,0.0034524075652409
belize,male,75+,0.0044575290588484
bosnia and herzegovina,female,15-24,7.970540880904177e-06
bosnia and herzegovina,female,25-34,1.280852535447594e-05
bosnia and herzegovina,female,35-54,5.050696364761291e-05
bosnia and herzegovina,female,5-14,0.0
bosnia and herzegovina,female,55-74,5.017966501801014e-05
bosnia and herzegovina,female,75+,9.873408794386262e-05
bosnia and herzegovina,male,15-24,2.187633308904761e-05
bosnia and herzegovina,male,25-34,7.91904071024777e-05
bosnia and herzegovina,male,35-54,0.0001832448239996
bosnia and herzegovina,male,5-14,4.395778294525937e-06
bosnia and herzegovina,male,55-74,0.0002146848699166
bosnia and herzegovina,male,75+,0.0003845274469456
brazil,female,15-24,0.0006676729705937
brazil,female,25-34,0.0006896955677375
brazil,female,35-54,0.0008282230477344
brazil,female,5-14,8.292272467047013e-05
brazil,female,55-74,0.0008222559804253
brazil,female,75+,0.0008573643703891
brazil,male,15-24,0.0020149820309497
brazil,male,25-34,0.0029045572183118
brazil,male,35-54,0.003136759664765
brazil,male,5-14,9.35725519370752e-05
brazil,male,55-74,0.0036588316736389
brazil,male,75+,0.0059902965915274
bulgaria,female,15-24,0.0011615992884786
bulgaria,female,25-34,0.0012913433411274
bulgaria,female,35-54,0.0018982153561982
bulgaria,female,5-14,0.000186167233683
bulgaria,female,55-74,0.0039255122967019
bulgaria,female,75+,0.0090886245947177
bulgaria,male,15-24,0.0032709947744711
bulgaria,male,25-34,0.0044620650358978
bulgaria,male,35-54,0.0070495704870443
bulgaria,male,5-14,0.0003816719111916
bulgaria,male,55-74,0.0105772963040414
bulgaria,male,75+,0.0268671095129879
cabo verde,female,15-24,1.7844715287567587e-05
cabo verde,female,25-34,0.0
cabo verde,female,35-54,4.075145686458291e-05
cabo verde,female,5-14,0.0
cabo verde,female,55-74,0.0001005682103886
cabo verde,female,75+,0.0
cabo verde,male,15-24,8.712926497752065e-05
cabo verde,male,25-34,0.0001862110702481
cabo verde,male,35-54,0.0003823523164177
cabo verde,male,5-14,5.235510724071133e-05
cabo verde,male,55-74,6.744452687664396e-05
cabo verde,male,75+,0.0004037141703673
canada,female,15-24,0.0014837182088544
canada,female,25-34,0.0017191615805353
canada,female,35-54,0.0024248946745737
canada,female,5-14,0.0001877264781955
canada,female,55-74,0.0018331526635823
canada,female,75+,0.0012476342674904
canada,male,15-24,0.0059907643856452
canada,male,25-34,0.0068439696470122
canada,male,35-54,0.0075992176449733
canada,male,5-14,0.0003123990601788
canada,male,55-74,0.0064296002565174
canada,male,75+,0.0073145509894838
chile,female,15-24,0.00121130136638
chile,female,25-34,0.0010991319564143
chile,female,35-54,0.0012115323926737
chile,female,5-14,0.0001519838404141
chile,female,55-74,0.0009439240856674
chile,female,75+,0.0006936288402346
chile,male,15-24,0.0046443609485657
chile,male,25-34,0.0059643082088394
chile,male,35-54,0.0060900058237356
chile,male,5-14,0.000250317975056
chile,male,55-74,0.0070738474085147
chile,male,75+,0.0098820545653108
colombia,female,15-24,0.0013699488814754
colombia,female,25-34,0.0006682476888208
colombia,female,35-54,0.0004387293274745
colombia,female,5-14,0.0002202670596804
colombia,female,55-74,0.0003470871093039
colombia,female,75+,0.000283557458731
colombia,male,15-24,0.0032082856822184
colombia,male,25-34,0.0030494601641235
colombia,male,35-54,0.0024411170171026
colombia,male,5-14,0.0002313466755583
colombia,male,55-74,0.0032525828228261
colombia,male,75+,0.0045831517654048
costa rica,female,15-24,0.0009580439390644
costa rica,female,25-34,0.000759191972212
costa rica,female,35-54,0.0005940857551947
costa rica,female,5-14,0.0001189988424656
costa rica,female,55-74,0.0004125244495457
costa rica,female,75+,0.0002586534895806
costa rica,male,15-24,0.0033926095961722
costa rica,male,25-34,0.0045804083639766
costa rica,male,35-54,0.0048413654169004
costa rica,male,5-14,0.00020345746569
costa rica,male,55-74,0.004260270691117
costa rica,male,75+,0.0051579950646272
croatia,female,15-24,0.0008230230298904
croatia,female,25-34,0.0009773117896272
croatia,female,35-54,0.0019935481252756
croatia,female,5-14,8.247583659097001e-05
croatia,female,55-74,0.0035639077367477
croatia,female,75+,0.0053204162010867
croatia,male,15-24,0.0036090739218923
croatia,male,25-34,0.0044108833047745
croatia,male,35-54,0.0073516418452993
croatia,male,5-14,0.0001926962206141
croatia,male,55-74,0.0111508569274388
croatia,male,75+,0.0203524973386345
cuba,female,15-24,0.0016879560116869
cuba,female,25-34,0.0016981703511425
cuba,female,35-54,0.0024202463945937
cuba,female,5-14,0.0001276533712674
cuba,female,55-74,0.004191467785755
cuba,female,75+,0.0047801728462776
cuba,male,15-24,0.0024299269091302
cuba,male,25-34,0.0043199098539609
cuba,male,35-54,0.0061474277319553
cuba,male,5-14,0.0001177039800477
cuba,male,55-74,0.0100880226203214
cuba,male,75+,0.0231105128134332
cyprus,female,15-24,0.0001318499895771
cyprus,female,25-34,0.0002587863505081
cyprus,female,35-54,0.0002915972931347
cyprus,female,5-14,0.0
cyprus,female,55-74,0.0002680071091319
cyprus,female,75+,7.737785007154611e-05
cyprus,male,15-24,0.0007459243701903
cyprus,male,25-34,0.0010673516144863
cyprus,male,35-54,0.0011312023216755
cyprus,male,5-14,0.0
cyprus,male,55-74,0.0009875555941905
cyprus,male,75+,0.0009026762294821
czech republic,female,15-24,0.0008277154390617
czech republic,female,25-34,0.001126642462708
czech republic,female,35-54,0.0021070778787446
czech republic,female,5-14,6.905193168643464e-05
czech republic,female,55-74,0.0026295764862538
czech republic,female,75+,0.0046559078534033
czech republic,male,15-24,0.0040877635310432
czech republic,male,25-34,0.0060171583991861
czech republic,male,35-54,0.0093085043812726
czech republic,male,5-14,0.0002129424893008
czech republic,male,55-74,0.0094244401883755
czech republic,male,75+,0.0190631984229268
denmark,female,15-24,0.0005882392055278
denmark,female,25-34,0.0008865262285452
denmark,female,35-54,0.0020233811685648
denmark,female,5-14,3.341124518329292e-05
denmark,female,55-74,0.0026301585302798
denmark,female,75+,0.0032904144714003
denmark,male,15-24,0.0020620510112985
denmark,male,25-34,0.0033852780098795
denmark,male,35-54,0.0053782997977355
denmark,male,5-14,8.46555895011585e-05
denmark,male,55-74,0.0059343046869846
denmark,male,75+,0.0109193524782396
dominica,female,15-24,0.0
dominica,female,25-34,0.0
dominica,female,35-54,0.0
dominica,female,5-14,0.0
dominica,female,55-74,0.0
dominica,female,75+,0.0
dominica,male,15-24,0.0
dominica,male,25-34,0.0
dominica,male,35-54,0.0
dominica,male,5-14,0.0
dominica,male,55-74,0.0
dominica,male,75+,0.0
ecuador,female,15-24,0.0026045000829777
ecuador,female,25-34,0.0013017981576832
ecuador,female,35-54,0.0007119962204508
ecuador,female,5-14,0.0003631762997559
ecuador,female,55-74,0.0005489051243322
ecuador,female,75+,0.0006608803285067
ecuador,male,15-24,0.0035569276350586
ecuador,male,25-34,0.003595060385194
ecuador,male,35-54,0.0028593164540905
ecuador,male,5-14,0.0003782246089299
ecuador,male,55-74,0.0031275567613197
ecuador,male,75+,0.0037445104622799
el salvador,female,15-24,0.0031122028389078
el salvador,female,25-34,0.0014541345036087
el salvador,female,35-54,0.0008443759092286
el salvador,female,5-14,0.0003192584862134
el salvador,female,55-74,0.0004227747050295
el salvador,female,75+,0.0006588131252034
el salvador,male,15-24,0.0045802317468181
el salvador,male,25-34,0.0059335424795583
el salvador,male,35-54,0.0042746326070899
el salvador,male,5-14,0.0001365017278223
el salvador,male,55-74,0.0037153386082995
el salvador,male,75+,0.0049077717757944
estonia,female,15-24,0.0009836336753215
estonia,female,25-34,0.0010504694762628
estonia,female,35-54,0.0021512020460697
estonia,female,5-14,9.1957535971036e-05
estonia,female,55-74,0.0025748140666795
estonia,female,75+,0.0051134758226156
estonia,male,15-24,0.0060436399367468
estonia,male,25-34,0.008512704073165
estonia,male,35-54,0.0127410911117599
estonia,male,5-14,0.0004557442620742
estonia,male,55-74,0.0128398516788677
estonia,male,75+,0.0161785151302608
fiji,female,15-24,0.0004659310909763
fiji,female,25-34,0.0003664695546957
fiji,female,35-54,0.0001524017754194
fiji,female,5-14,6.253472816356098e-05
fiji,female,55-74,0.0002074225764047
fiji,female,75+,0.0005355993981825
fiji,male,15-24,0.0005980206184928
fiji,male,25-34,0.0007497895969371
fiji,male,35-54,0.0006898954626668
fiji,male,5-14,4.457194565461782e-05
fiji,male,55-74,0.0007949571756368
fiji,male,75+,0.0020713968477377
finland,female,15-24,0.0022604116341361
finland,female,25-34,0.0030410046975431
finland,female,35-54,0.0043237594084981
finland,female,5-14,8.404047218642367e-05
finland,female,55-74,0.003879758738768
finland,female,75+,0.0022367904551378
finland,male,15-24,0.0092887306875065
finland,male,25-34,0.0126918771472008
finland,male,35-54,0.0142614907178512
finland,male,5-14,0.0002166992786606
finland,male,55-74,0.0122627257702005
finland,male,75+,0.0146940023567349
france,female,15-24,0.0011218974430254
france,female,25-34,0.0021837250669021
france,female,35-54,0.0040394265923679
france,female,5-14,6.564426380011956e-05
france,female,55-74,0.0046415565323383
france,female,75+,0.0056784863967267
france,male,15-24,0.0037676159286162
france,male,25-34,0.0080257042638319
france,male,35-54,0.0114479437712956
france,male,5-14,0.0001659271499487
france,male,55-74,0.0112865718883519
france,male,75+,0.0256068296219947
georgia,female,15-24,0.0001783399198376
georgia,female,25-34,0.0001905298709868
georgia,female,35-54,0.0002748283170969
georgia,female,5-14,3.6626799406414096e-05
georgia,female,55-74,0.0005278158084994
georgia,female,75+,0.0009352786046825
georgia,male,15-24,0.0008210399866708
georgia,male,25-34,0.0012347673679241
georgia,male,35-54,0.0014088701262627
georgia,male,5-14,6.111141188550786e-05
georgia,male,55-74,0.0022389998867575
georgia,male,75+,0.0032556345193041
germany,female,15-24,0.0008013141095234
germany,female,25-34,0.0011358483830216
germany,female,35-54,0.0019771578127927
germany,female,5-14,6.277690483988933e-05
germany,female,55-74,0.0027901180446999
germany,female,75+,0.0046568381552797
germany,male,15-24,0.0029374653088165
germany,male,25-34,0.0043559923084094
germany,male,35-54,0.0061826209290772
germany,male,5-14,0.0001324346317363
germany,male,55-74,0.0073432158304096
germany,male,75+,0.016170823564416
greece,female,15-24,0.0002675085554711
greece,female,25-34,0.0004863772791141
greece,female,35-54,0.0005390057804446
greece,female,5-14,1.594036561705358e-05
greece,female,55-74,0.0007087210139712
greece,female,75+,0.0008571370555921
greece,male,15-24,0.0011347524067951
greece,male,25-34,0.001950048083167
greece,male,35-54,0.0021740168089801
greece,male,5-14,4.825099821653197e-05
greece,male,55-74,0.0026220474149128
greece,male,75+,0.0043184706136698
grenada,female,15-24,8.547008547008547e-05
grenada,female,25-34,0.0002700608138427
grenada,female,35-54,0.0
grenada,female,5-14,0.0
grenada,female,55-74,0.0
grenada,female,75+,0.0005194805194805
grenada,male,15-24,0.0002597179616792
grenada,male,25-34,0.0009689744729124
grenada,male,35-54,0.0015697059943626
grenada,male,5-14,7.792410192472531e-05
grenada,male,55-74,0.0021016681361246
grenada,male,75+,0.0007570022710068
guatemala,female,15-24,0.0007275043479562
guatemala,female,25-34,0.0004291369330628
guatemala,female,35-54,0.0003402833038252
guatemala,female,5-14,9.58564089228923e-05
guatemala,female,55-74,0.0002034358428409
guatemala,female,75+,0.0002088151178677
guatemala,male,15-24,0.0015992925397188
guatemala,male,25-34,0.0019867176296925
guatemala,male,35-54,0.001889065419264
guatemala,male,5-14,8.781070609936046e-05
guatemala,male,55-74,0.001555400615838
guatemala,male,75+,0.0023441518675799
guyana,female,15-24,0.0046317324328252
guyana,female,25-34,0.0026666941665176
guyana,female,35-54,0.0024001557352983
guyana,female,5-14,0.0006252998687377
guyana,female,55-74,0.0022461309062794
guyana,female,75+,0.0016418506810021
guyana,male,15-24,0.0076114068392888
guyana,male,25-34,0.0121983742170656
guyana,male,35-54,0.0122941003599908
guyana,male,5-14,0.0003778462778888
guyana,male,55-74,0.0102702059407225
guyana,male,75+,0.0095961095198683
hungary,female,15-24,0.0008992805482416
hungary,female,25-34,0.001639391007855
hungary,female,35-54,0.0040835811448376
hungary,female,5-14,5.405822554468642e-05
hungary,female,55-74,0.0051779944290641
hungary,female,75+,0.0100070951109567
hungary,male,15-24,0.004061532098319
hungary,male,25-34,0.0081932773044798
hungary,male,35-54,0.0170468399031653
hungary,male,5-14,0.0001906017583359
hungary,male,55-74,0.0177443569018326
hungary,male,75+,0.0324631168642218
iceland,female,15-24,0.000930605787424
iceland,female,25-34,0.0019252858395966
iceland,female,35-54,0.0025050420160389
iceland,female,5-14,4.854368932038835e-05
iceland,female,55-74,0.0038710322127587
iceland,female,75+,0.0020376126396561
iceland,male,15-24,0.0079699321012612
